scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total
neutral,56,4079.431477825252,,,648.459004602154,,,,monthly,2.0,1.0,2.0,2286.992022515726,1792.4394553095258,500.0,2930.972473223098,100.0,0.0,2170.5889301460866,1792.4394553095258,57882.37147056231
neutral,56,4420.375369762542,,,3920.3753697625416,,,,monthly,3.0,1.0,3.0,2249.786439616454,2170.588930146087,500.0,0.0,99.0,1.0,2663.37831426717,2170.5889301460866,71023.4217137912
neutral,56,5235.938545134062,,,1735.9385451340622,,,,monthly,4.0,1.0,4.0,2572.560230866893,2663.3783142671696,500.0,3000.0,99.0,1.0,3718.879700583596,2663.37831426717,99170.1253488959
neutral,56,6049.501112357084,,,5549.501112357084,,,,monthly,5.0,1.0,5.0,2330.621411773487,3718.8797005835963,500.0,0.0,98.0,2.0,2997.6836486080665,3718.879700583596,79938.23062954844
neutral,56,5398.336017355283,,,807.2315723655515,,,,monthly,6.0,1.0,6.0,2455.9071013305443,2942.428916024739,500.0,4091.1044449897313,98.0,2.0,3450.466607254779,2942.4289160247386,92012.44286012744
neutral,56,5922.301012500198,,,-2132.7546200399274,,,,monthly,7.0,1.0,7.0,2649.650701512981,3272.650310987217,500.0,7555.055632540126,97.0,3.0,3526.632530335953,3272.650310987218,94043.53414229209
neutral,56,5895.881523628188,,,5395.881523628188,,,,monthly,8.0,1.0,8.0,2369.2489932922363,3526.632530335952,500.0,0.0,96.0,4.0,3103.9567968771344,3526.632530335953,82772.18125005692
neutral,56,5469.904969537425,,,4969.904969537425,,,,monthly,9.0,1.0,9.0,2365.9481726602917,3103.9567968771335,500.0,0.0,96.0,4.0,3669.3704653931986,3103.9567968771344,97849.87907715196
neutral,56,5959.140603141705,,,2459.1406031417046,,,,monthly,10.0,1.0,10.0,2289.7701377485055,3669.3704653931986,500.0,3000.0,96.0,4.0,2819.8937608064252,3669.3704653931986,75197.166954838
neutral,56,5240.9562843257245,,,4740.9562843257245,,,,monthly,11.0,1.0,11.0,2421.0625235192992,2819.893760806425,500.0,0.0,95.0,5.0,2691.9671268498564,2819.8937608064252,71785.79004932952
neutral,56,5305.828755526976,,,4805.828755526976,,,,monthly,12.0,1.0,12.0,2613.86162867712,2691.967126849856,500.0,0.0,95.0,5.0,2064.348541057602,2691.9671268498564,55049.29442820272
neutral,57,67578.16668571973,72000.0,9481.000514020128,-13902.833828300401,0.02,98.0,100.0,summary,,,,,,,,,,,,
neutral,57,2585.654205622414,,,2085.654205622414,,,,monthly,1.0,1.0,1.0,2585.654205622414,0.0,500.0,0.0,100.0,0.0,2446.9400669761158,0.0,65251.73511936309
neutral,57,4745.007830544173,,,4245.007830544173,,,,monthly,2.0,1.0,2.0,2298.0677635680577,2446.9400669761153,500.0,0.0,100.0,0.0,3208.40958734682,2446.9400669761158,85557.5889959152
neutral,57,5275.162999370381,,,-1705.8375146497483,,,,monthly,3.0,1.0,3.0,2306.452684209595,2968.710315160786,500.0,6481.000514020129,100.0,0.0,4026.927923740994,2968.7103151607857,107384.74463309319
neutral,57,6454.515993736681,,,5954.515993736681,,,,monthly,4.0,1.0,4.0,2427.5880699956865,4026.927923740994,500.0,0.0,99.0,1.0,4389.516640134139,4026.927923740994,117053.77707024373
neutral,57,6808.690834104702,,,6308.690834104702,,,,monthly,5.0,1.0,5.0,2419.174193970562,4389.516640134139,500.0,0.0,99.0,1.0,3746.5121631458755,4389.516640134139,99906.99101722335
neutral,57,6097.137138250502,,,5597.137138250502,,,,monthly,6.0,1.0,6.0,2350.624975104627,3746.5121631458746,500.0,0.0,99.0,1.0,3579.8649749316455,3746.5121631458755,95463.06599817722
neutral,57,6344.868642918081,,,5844.868642918081,,,,monthly,7.0,1.0,7.0,2765.0036679864347,3579.864974931646,500.0,0.0,99.0,1.0,4498.284747254721,3579.8649749316455,119954.25992679257
neutral,57,6848.241517847808,,,6348.241517847808,,,,monthly,8.0,1.0,8.0,2349.9567705930863,4498.284747254721,500.0,0.0,99.0,1.0,2934.8190384028017,4498.284747254721,78261.8410240747
neutral,57,5348.034560575517,,,4848.034560575517,,,,monthly,9.0,1.0,9.0,2413.2155221727157,2934.8190384028017,500.0,0.0,99.0,1.0,2923.1070248799,2934.8190384028017,77949.520663464
neutral,57,5372.478006793146,,,4872.478006793146,,,,monthly,10.0,1.0,10.0,2449.3709819132455,2923.1070248799,500.0,0.0,99.0,1.0,2864.8289406947138,2923.1070248799,76395.43841852571
neutral,57,5275.3398837852665,,,1775.3398837852665,,,,monthly,11.0,1.0,11.0,2410.510943090553,2864.8289406947133,500.0,3000.0,99.0,1.0,3737.0817462098494,2864.8289406947138,99655.51323226265
neutral,57,6423.03507217107,,,5923.03507217107,,,,monthly,12.0,1.0,12.0,2685.9533259612213,3737.081746209849,500.0,0.0,98.0,2.0,4734.880868370758,3737.0817462098494,126263.48982322022
neutral,58,69856.32806109595,72000.0,11341.417929062345,-13485.089867966397,0.03,97.0,100.0,summary,,,,,,,,,,,,
neutral,58,2325.4600782312154,,,1825.4600782312154,,,,monthly,1.0,1.0,1.0,2325.4600782312154,0.0,500.0,0.0,100.0,0.0,1521.3850132497994,0.0,40570.26701999465
neutral,58,3723.25320815084,,,-2118.1647209115054,,,,monthly,2.0,1.0,2.0,2302.8436682406928,1420.4095399101468,500.0,5341.417929062345,100.0,0.0,2497.4291523510487,1420.409539910147,66598.1107293613
neutral,58,4800.11347272376,,,4300.11347272376,,,,monthly,3.0,1.0,3.0,2302.6843203727117,2497.429152351049,500.0,0.0,99.0,1.0,2720.395721402529,2497.4291523510487,72543.88590406744
neutral,58,5164.439533672634,,,4664.439533672634,,,,monthly,4.0,1.0,4.0,2444.0438122701057,2720.3957214025286,500.0,0.0,99.0,1.0,3592.3161784753556,2720.395721402529,95795.09809267615
neutral,58,5998.214292792908,,,2498.214292792908,,,,monthly,5.0,1.0,5.0,2405.8981143175524,3592.3161784753556,500.0,3000.0,99.0,1.0,4086.564116963282,3592.3161784753556,108975.04311902085
neutral,58,6420.270594975932,,,5920.270594975932,,,,monthly,6.0,1.0,6.0,2333.7064780126498,4086.5641169632822,500.0,0.0,98.0,2.0,3989.3431947433837,4086.564116963282,106382.48519315691
neutral,58,6656.997473656855,,,6156.997473656855,,,,monthly,7.0,1.0,7.0,2667.654278913471,3989.3431947433833,500.0,0.0,98.0,2.0,4726.141588816905,3989.3431947433837,126030.44236845081
neutral,58,7074.971211637243,,,6574.971211637243,,,,monthly,8.0,1.0,8.0,2348.8296228203376,4726.141588816905,500.0,0.0,98.0,2.0,4459.237884091609,4726.141588816905,118913.01024244292
neutral,58,6807.752064223787,,,6307.752064223787,,,,monthly,9.0,1.0,9.0,2348.5141801321765,4459.23788409161,500.0,0.0,98.0,2.0,4908.4430426320705,4459.237884091609,130891.81447018855
neutral,58,7214.11662201358,,,3714.11662201358,,,,monthly,10.0,1.0,10.0,2305.6735793815096,4908.4430426320705,500.0,3000.0,98.0,2.0,4447.5851766262285,4908.4430426320705,118602.27137669941
neutral,58,6789.460710112117,,,6289.460710112117,,,,monthly,11.0,1.0,11.0,2341.875533485889,4447.5851766262285,500.0,0.0,97.0,3.0,4282.4913303929425,4447.5851766262285,114199.76881047846
neutral,58,6881.2787989050885,,,6381.2787989050885,,,,monthly,12.0,1.0,12.0,2598.7874685121465,4282.491330392942,500.0,0.0,97.0,3.0,3957.556024627932,4282.4913303929425,105534.82732341153
neutral,59,73065.20855294354,72000.0,15292.71999862721,-14227.511445683667,0.04,96.0,100.0,summary,,,,,,,,,,,,
