scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
opt_neut,142,114457.83894790322,48000.0,12622.051311279549,53835.787636623674,0.03,97.0,100.0,summary,,,,,,,,,,,,,
opt_neut,142,3776.0100136962783,,,3442.676680362945,,,,monthly,1.0,1.0,1.0,3776.0100136962783,0.0,333.3333333333333,0.0,100.0,0.0,3592.506302995505,0.0,82114.42978275439,3592.506302995505
opt_neut,142,7015.420802621473,,,6682.08746928814,,,,monthly,2.0,1.0,2.0,3433.9012186446084,3581.519583976864,333.3333333333333,0.0,100.0,0.0,5384.720868169449,3581.5195839768644,123079.3341295874,5395.70758718809
opt_neut,142,8640.531751217468,,,5157.198417884134,,,,monthly,3.0,1.0,3.0,3328.6222852640867,5311.909465953381,333.3333333333333,3150.0,100.0,0.0,6499.632086410134,5311.909465953382,148563.01911794592,6583.430207644842
opt_neut,142,9833.651016415173,,,28.26637180229045,,,,monthly,4.0,1.0,4.0,3495.7615778993845,6337.889438515788,333.3333333333333,9472.051311279549,99.0,1.0,6616.839662981645,6337.889438515787,151242.04943958044,6776.61920581039
opt_neut,142,9936.268528053422,,,9602.935194720088,,,,monthly,5.0,1.0,5.0,3444.662956119693,6491.605571933729,333.3333333333333,0.0,97.0,3.0,7130.869401755416,6491.605571933728,162991.30061155235,7415.883035632077
opt_neut,142,10493.402916654028,,,10160.069583320694,,,,monthly,6.0,1.0,6.0,3365.285049160686,7128.117867493342,333.3333333333333,0.0,97.0,3.0,7429.595189451585,7128.117867493341,169819.3186160362,7717.360357590321
opt_neut,142,10935.11813692095,,,10601.784803587616,,,,monthly,7.0,1.0,7.0,3624.7486407313586,7310.369496189591,333.3333333333333,0.0,97.0,3.0,7650.474744562065,7310.369496189591,174867.9941614186,8057.465605962795
opt_neut,142,10914.446444161265,,,10581.113110827931,,,,monthly,8.0,1.0,8.0,3266.5687112009487,7647.877732960317,333.3333333333333,0.0,97.0,3.0,6695.0263184421565,7647.877732960317,153029.17299296355,7104.614191444634
opt_neut,142,10016.22429267922,,,9682.890959345887,,,,monthly,9.0,1.0,9.0,3448.676201164355,6567.548091514865,333.3333333333333,0.0,97.0,3.0,7939.94845594154,6567.548091514863,181484.53613580661,8477.01455587131
opt_neut,142,10920.752099912479,,,10587.418766579145,,,,monthly,10.0,1.0,10.0,3186.5178517818285,7734.23424813065,333.3333333333333,0.0,97.0,3.0,7809.948744226884,7734.23424813065,178513.1141537573,8552.729051967544
opt_neut,142,11119.614762512656,,,10786.281429179322,,,,monthly,11.0,1.0,11.0,3272.6107687802555,7847.0039937324,333.3333333333333,0.0,97.0,3.0,6886.64595464566,7847.0039937324,157409.0503919008,7592.371012880805
opt_neut,142,10856.398183058784,,,10523.06484972545,,,,monthly,12.0,1.0,12.0,3668.1973959921806,7188.200787066604,333.3333333333333,0.0,97.0,3.0,7151.951242751256,7188.200787066601,163473.17126288585,7556.1214685654595
opt_neut,143,103014.54217022567,48000.0,19482.817096417617,35531.725073808055,0.05,95.0,100.0,summary,,,,,,,,,,,,,
opt_neut,143,3722.414885319269,,,3389.0815519859357,,,,monthly,1.0,1.0,1.0,3722.414885319269,0.0,333.3333333333333,0.0,100.0,0.0,2874.505180339912,0.0,65702.97555062655,2874.505180339912
opt_neut,143,6415.284396370624,,,6081.951063037291,,,,monthly,2.0,1.0,2.0,3540.7792160307117,2874.505180339912,333.3333333333333,0.0,100.0,0.0,3911.248680230433,2874.505180339912,89399.96983383846,3911.248680230433
opt_neut,143,7167.32882377814,,,3683.995490444807,,,,monthly,3.0,1.0,3.0,3293.34807187563,3873.9807519025094,333.3333333333333,3150.0,100.0,0.0,4657.617778257134,3873.9807519025085,106459.83493159161,4694.885706585059
opt_neut,143,8412.844737143934,,,8079.511403810601,,,,monthly,4.0,1.0,4.0,3751.888393098637,4660.956344045298,333.3333333333333,0.0,99.0,1.0,5927.001180904136,4660.956344045297,135474.31270638024,5960.9305434438975
opt_neut,143,9441.696591392736,,,9108.363258059402,,,,monthly,5.0,1.0,5.0,3595.080811769963,5846.6157796227735,333.3333333333333,0.0,99.0,1.0,6028.106635920335,5846.6157796227735,137785.29453532194,6142.421399741459
opt_neut,143,9313.299143462202,,,3497.1487137112526,,,,monthly,6.0,1.0,6.0,3486.4350026135794,5826.864140848622,333.3333333333333,5482.817096417615,99.0,1.0,5504.0310062554,5826.864140848622,125806.42300012342,5688.097576645363
opt_neut,143,9272.44145497233,,,5089.108121638996,,,,monthly,7.0,1.0,7.0,3858.296173737435,5414.145281234894,333.3333333333333,3850.0000000000005,98.0,2.0,5883.760184751585,5414.145281234893,134485.94708003625,6157.712480162055
opt_neut,143,9512.698657567988,,,9179.365324234654,,,,monthly,8.0,1.0,8.0,3510.7921400696987,6001.906517498288,333.3333333333333,0.0,97.0,3.0,6048.348568355405,6001.906517498288,138247.96727669498,6204.154531019172
opt_neut,143,9313.868651517638,,,5480.535318184304,,,,monthly,9.0,1.0,9.0,3467.891007987353,5845.977643530284,333.3333333333333,3500.0,97.0,3.0,6536.504198334965,5845.977643530284,149405.81024765634,6894.681085823853
opt_neut,143,9850.075267518794,,,9516.74193418546,,,,monthly,10.0,1.0,10.0,3456.0538434949804,6394.021424023815,333.3333333333333,0.0,96.0,4.0,7448.82738722397,6394.021424023816,170258.91170797643,7949.487049024007
opt_neut,143,10876.584727525495,,,7043.251394192161,,,,monthly,11.0,1.0,11.0,3205.093792815998,7671.490934709496,333.3333333333333,3500.0,96.0,4.0,5867.811302436147,7671.490934709496,134121.4011985405,6145.807416750658
opt_neut,143,9716.004833656518,,,9382.671500323184,,,,monthly,12.0,1.0,12.0,3718.0861664537174,5997.918667202801,333.3333333333333,0.0,95.0,5.0,5286.74597835607,5997.918667202802,120839.90807671016,5434.634727903927
opt_neut,144,81656.4589534456,48000.0,10850.0,22806.458953445603,0.03,97.0,100.0,summary,,,,,,,,,,,,,
opt_neut,144,3707.0354226098334,,,3373.7020892765,,,,monthly,1.0,1.0,1.0,3707.0354226098334,0.0,333.3333333333333,0.0,100.0,0.0,1425.955830622551,0.0,32593.27612851545,1425.955830622551
opt_neut,144,5004.176536157371,,,4670.843202824038,,,,monthly,2.0,1.0,2.0,3578.2207055348204,1425.9558306225508,333.3333333333333,0.0,100.0,0.0,2196.4782682395844,1425.955830622551,50205.21755976193,2196.4782682395844
opt_neut,144,5757.37857954125,,,5424.0452462079165,,,,monthly,3.0,1.0,3.0,3560.9003113016656,2196.4782682395844,333.3333333333333,0.0,100.0,0.0,3349.2338792968944,2196.4782682395844,76553.91724107187,3349.2338792968944
