scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
pessimistic,158,198379.5161829202,,,28283.43905194933,,,,monthly,7.0,1.0,7.0,72722.80633012865,125656.70985279154,33333.333333333336,136762.74379763752,969.0,31.0,141151.22098093937,125656.70985279158,3764032.559491717,206845.37477413582
pessimistic,158,195508.5023833596,,,112286.0620568172,,,,monthly,8.0,1.0,8.0,64548.112324194306,130960.3900591653,33333.333333333336,49889.10699320904,956.0,44.0,140355.62145850365,130960.3900591653,3742816.5722267646,215813.26422387137
pessimistic,158,198191.86092169356,,,114845.51002832691,,,,monthly,9.0,1.0,9.0,63351.934786075326,134839.92613561824,33333.333333333336,50013.0175600333,949.0,51.0,141730.17410077027,134839.92613561827,3779471.309353874,222185.91836926775
pessimistic,158,205772.19459272941,,,98802.84317589326,,,,monthly,10.0,1.0,10.0,63588.29421121011,142183.9003815193,33333.333333333336,73636.01808350281,941.0,59.0,140237.06882374155,142183.90038151928,3739655.1686331085,217446.31946914733
pessimistic,158,197400.93890294465,,,109278.47048483067,,,,monthly,11.0,1.0,11.0,63404.63683895853,133996.3020639861,33333.333333333336,54789.13508478063,934.0,66.0,137520.42251988806,133996.30206398605,3667211.2671970148,220250.74024247788
pessimistic,158,212317.65787718154,,,114377.62004549922,,,,monthly,12.0,1.0,12.0,68695.81300115722,143621.84487602432,33333.333333333336,64606.704498348976,926.0,74.0,135233.9420917657,143621.84487602438,3606238.4557804186,211326.5379342273
pessimistic,159,2079566.9053904214,4800000.0,438561.5965908852,-3158994.691200464,0.061,939.0,1000.0,summary,,,,,,,,,,,,,
pessimistic,159,79385.8811682937,,,14622.018442337747,,,,monthly,1.0,1.0,1.0,79385.8811682937,0.0,33333.333333333336,31430.52939262261,1000.0,0.0,57586.468070635696,0.0,1535639.1485502853,57586.468070635696
pessimistic,159,121524.84272760275,,,65599.89242973244,,,,monthly,2.0,1.0,2.0,71962.60008164398,49562.242645958766,33333.333333333336,22591.616964536966,994.0,6.0,96710.0726302561,49562.24264595876,2578935.2701401627,104655.9237230751
pessimistic,159,146730.76526743363,,,61577.877711326975,,,,monthly,3.0,1.0,3.0,66596.07069929104,80134.69456814259,33333.333333333336,51819.55422277331,990.0,10.0,116362.32340973974,80134.69456814263,3102995.290926393,140199.55690530245
